GENESYMBOL	TNFa	JAK-STAT	PI3K_only	Wnt	VEGF	MAPK_only	TGFB	IL-1	MAPK_PI3K	TLR	H2O2	CellCycle	
HIST1H2AC	0	0	2.7559752	0	0	2.7147462	0	0	0	0	0	0	
HIVEP1	3.456459	0	0	0	0	0	0	0	0	0	0	0	
HIVEP2	0.9639011	0	0	0	0	0	0	0	0	0	0	0	
HLA-F	0	0	0	0	0	-2.8662248	0	0	0	0	0	0	
HLA-G	0	-1.9153677	-2.6829805	0	0	-3.2500706	0	0	-2.4214373	0	0	0	
HLX	0	-0.36612007	0	0	-0.25064754	0	0	0	0	0	0	0	
HMCN1	0	0	0	0	0	-3.259348	0	0	0	0	0	0	
HMGCS1	7.7450476	0	0	0	0	0	0	0	0	0	0	0	
HMOX1	0	0	0	0	0	0	-1.7158397	0	0	0	-2.1759093	0	
HNRNPA3	0	0	0	0	0	8.55002	0	0	0	0	0	0	
HNRNPH1	0	0	0	0	0	0	0	0	8.445682	0	0	0	
HNRNPL	0	0	10.799745	0	0	9.868177	0	0	0	0	0	0	
HOMER1	0	0	0	0	0	0	0	0	0	0	1.2774652	0	
HOXA9	-0.41891524	0	0	0	0	0	0	0	0	0	0	0	
HPCAL1	0	0	0	0	0	0.4033072	0	0	0	0	0	0	
HS3ST3B1	0	0	0	0	0	0	0	0	0	5.429782	0	0	
HSD11B1	-1.6301959	0	0	0	0	0	0	0	0	0	0	0	
HSP90AA1	0	0	0	4.6902704	0	3.5550978	0	0	0	0	0	0	
HSP90B1	0	0	0	0	0	0	0	0	6.0357747	0	6.6082625	0	
HSPA5	0	0	0	4.5626683	0	0	0	0	0	0	0	0	
HSPB8	0	0	0	0	0	-2.7644894	0	0	0	0	0	0	
HTATIP2	0	0	0	0	0	2.6406436	0	0	0	0	0	0	
HTRA1	0	0	0	0	0	9.249551	0	0	0	0	0	0	
ICAM1	-1.4965717	-1.760709	0	0	0	0	0	-1.7568672	0	-1.2025108	0	0	
ID1	3.438952	5.7226725	3.2211719	0	2.4943345	0	4.2994003	7.0165124	5.517478	0	0	0	
ID2	-10.630316	0	0	0	0	7.6951094	5.46193	0	0	-16.131279	0	0	
ID3	0	0	0	0	0	0	17.476257	0	0	0	0	0	
ID4	-0.52599835	0	0	0	0	0	0	0	0	0	0	0	
IDH3A	1.4635116	0	0	0	0	0	0	0	0	0	0	0	
IDI1	0	0	0	0	0	0	8.975722	0	0	0	0	0	
IDS	0	0	0	0	0	5.736155	0	0	0	0	0	0	
IER2	2.944932	0	0	0	0	0	0	3.3321686	2.2645535	0	1.6282789	0	
IER3	11.318774	0	4.7603116	0	11.19234	3.6527464	9.562562	9.903832	8.139333	8.649775	0	0	
IER5	-0.10208007	0	0	0	0	-0.90400404	0	-0.91492987	-0.33756098	0	0	0	
IFI27	0	-1.299746	0	0	0	-2.2851443	0	0	0	0	0	0	
IFI44L	0	0	0	0	0	-1.8443794	0	0	0	0	0	0	
IFI6	0	0	0	0	0	4.8391666	0	0	0	0	0	0	
IFIT1	0	1.1103587	0	0	0	-0.54747486	0	0	0	0.8162255	0	0	
IFIT2	0	-1.9793522	0	0	0	0	0	0	0	0	0	0	
IFIT3	1.0943929	0.42670405	0	0	0	0	-0.02944897	0	0	1.3989836	0	0	
IFIT5	0	1.4668026	0	0	0	0	0	0	0	0	0	0	
IFITM1	0	0	0	0	0	1.6683401	0	0	0	0	0	0	
IFNAR2	-2.457193	0	0	0	0	0	0	0	0	0	0	0	
IFNGR2	16.624079	0	0	0	0	0	0	0	0	0	0	0	
IGF1R	0	0	0	0	0	0	0	0	17.147501	0	0	0	
IGFBP5	0	0	0	0	0	1.2104949	0	0	-1.7757713	0	0	0	
IGSF3	0	0	0	0	0	-3.3422287	0	0	0	0	0	0	
IL15	0	0.30394417	0	0	0	0	0	0	0	0	0	0	
IL15RA	0	-0.6882486	0	0	0	0	0	0	0	0	0	0	
IL17RA	0	0	0	0	0	-2.0326383	0	0	0	0	0	0	
IL17RB	-1.7267736	0	0	0	0	0	0	0	0	0	0	0	
IL18R1	0	0	0	0	0	0	0	-1.6603048	0	0	0	0	
IL1B	-1.5031346	-1.644369	0	0	0	-3.2549357	-2.3516588	-1.665904	0	-1.2596273	0	0	
IL23A	0	0	0	0	0	0	0	0	0	-1.7659796	0	0	
IL6	7.5008354	5.5524015	0	0	0	-0.08604678	0	6.631237	4.3780127	6.670132	2.5585895	0	
IL6ST	0	0	0	0	12.859728	0	0	0	0	0	17.289011	0	
IL7R	0	0	0	0	0	0	0	2.066694	0	3.2242193	0	0	
INADL	0	0	0	0	0	-2.1227582	0	0	0	0	0	0	
INHBA	-2.4677248	0	0	0	0	0	6.0565615	-4.2162137	0	-7.079406	0	0	
INO80B	0	0	0	0	0	-1.1769475	0	0	0	0	0	0	
INSIG1	4.248409	0	0	0	0	4.360194	4.8536196	3.2564645	0	0	0	0	
IRAK2	-0.243681	0	0	0	0	0	0	0	0	0	0	0	
IRF1	3.1765053	3.1667123	0	0	0	0	0	2.929759	0	3.2562869	0	0	
IRF2BP2	0	0	0	0	0	11.996063	0	0	0	0	0	0	
IRS1	0	0	0	2.3642833	0	0	0	0	0	0	0	0	
IRS2	0	0	1.6665702	0	0	0	0	0	0	0	0	0	
ISG15	0	0	0	0	0	5.8037257	0	0	0	4.093814	0	0	
ITGA2	0	0	0	0	0	-1.9785143	0	0	0	0	0	0	
ITGB5	0	0	0	0	0	0	0	12.181176	0	0	0	0	
ITGB8	0	0	0	0	0	-2.4710329	0	0	0	-2.9989586	0	0	
ITM2B	0	0	0	0	0	13.491369	0	0	0	0	0	0	
ITPRIP	0	0	0	0	0	0	-2.497919	0	0	0	0	0	
JAG1	0	7.9229207	3.3089397	0	0	0	0	6.5036364	0	6.7539816	0	0	
JMJD1C	0	0	0	0	0	0	16.577963	0	0	0	0	0	
JMJD6	0	0	0	0	0	0	0.1551708	0	0	0	0	0	
JMY	0	0	0	0	0	1.0562268	0	0	0	0	0	0	
JUN	1.6957194	0	0.32017845	0	0	0.5001874	1.3353493	1.6417402	1.4198347	0	1.2412056	0	
JUNB	6.4367275	0	0	0	6.786212	0	3.942956	6.439057	4.5300045	0	3.62762	0	
JUND	0	0	0	0	0	0	0	6.582907	0	0	0	0	
KANK1	0	0	0	0	0	0	0	0	0	-2.8650472	0	0	
KCNE3	0	0	0	0	0	0	0	0	0	-0.65114313	0	0	
KCNE4	0	0	0	0	0	0	0.58652717	0	0	0	-0.20685776	0	
KCNJ2	0	-6.9109235	0	0	0	0	0	0	0	-7.307942	0	0	
KCNQ1OT1	0	0	0	0	0	-0.6607529	0	0	0	0	0	0	
KCTD3	0	0	0	0	0	5.998611	0	0	0	0	0	0	
KDM6B	-2.3689764	0	0	0	0	0	0	-2.548829	-2.225404	0	0	0	
KIAA0040	0	0	0	0	0	-3.3690689	0	0	0	0	0	0	
KIAA0195	0	0	0	0	0	-0.023258556	0	0	0	0	0	0	
KIAA0907	0	0	2.3231478	0	0	0	0	0	0	0	0	0	
KIAA1143	0	0	0	0	0	7.610182	0	0	0	0	0	0	
KIAA1324	0	0	0	0	0	-1.8066916	0	0	-1.1642762	0	0	0	
KIF1B	-2.5489974	0	0	0	0	0	0	0	0	0	0	0	
KIF5C	0	0	0	0	0	-3.190269	0	0	0	0	0	0	
KLF10	11.76827	15.074275	0	0	12.66765	0	14.977039	13.383032	13.017548	0	15.108593	0	
KLF2	0	0	0	0	0	0	0	0	-0.8921161	0	-0.3624099	0	
KLF4	0	0	0	-1.7597901	0	0	0	0	0	0	0	0	
KLF5	-6.5690055	0	0	0	0	3.2569437	0	0	0	0	0	0	
KLF6	13.276442	0	0	0	0	11.360416	14.626404	13.084901	15.985379	0	0	0	
KLF9	2.3918195	0	0	0	0	0	0	0	0	0	0	0	
KLHL26	0	0	0	0	0	-3.1923854	0	0	0	0	0	0	
KPNB1	0	0	0	0	0	11.464209	0	0	0	0	0	0	
KRT81	0	0	0	0	0	-3.3468907	0	0	0	0	0	0	
KTN1	0	0	0	0	0	9.630192	0	0	0	0	0	0	
KYNU	0	0	0	0	0	-3.7609053	0	0	0	0	0	0	
LAMP1	0	1.5067605	0	0	0	0	0	0	0	0	0	0	
LAMP2	0	0	0	0	0	18.065622	0	0	0	0	0	0	
LAMP3	0	0	0	0	0	0	0	0	0	-1.1228474	0	0	
LDLR	14.112532	0	0	0	0	9.118019	0	0	13.124116	0	14.271652	0	
LGALS3	0	0	0	0	0	13.010903	0	0	0	0	0	0	
LGALS8	5.4004936	0	0	0	0	0	6.934841	0	0	0	0	0	
LIF	1.5961068	0	0	0	0	0	0	0	1.1694342	0	0	0	
LIMK2	0	-3.697684	0	0	0	0	0	0	0	0	0	0	
LITAF	16.580242	0	0	0	0	0	0	0	0	0	0	0	
LMO7	0	0	0	0	0	7.4117775	0	0	0	0	0	0	
LONRF3	0	0	0	0	0	0	-2.7151968	0	0	0	0	0	
LPIN1	0	0	0	0	0	0	6.4182854	0	0	0	0	0	
LRIG1	0	0	0	0	0	0.6353731	2.1382868	0	0	0	0	0	
LRPPRC	0	0	0	0	0	8.50526	0	0	0	0	0	0	
LRRFIP1	0	0	5.4417934	0	0	0	0	0	0	0	8.186493	0	
LSM1	0	0	0	0	0	14.046058	0	0	0	0	0	0	
LUC7L3	0	0	0	0	0	0	0	0	0	0	13.545809	0	
LYN	-2.158924	0	0	0	0	0	-2.0058272	0	0	0	0	0	
MACC1	0	0	0	0	0	-2.5442953	0	0	0	0	0	0	
MAFB	0	-1.9855344	0	0	0	-3.4045084	-2.7242227	0	0	0	0	0	
MAFF	3.5175705	0	1.2048069	0	3.8893921	0	0	4.2404222	3.4951446	4.3538465	2.5572367	0	
MAFG	0	0	0	0	0	-1.5149542	0	0	0	0	0	0	
MAFK	0	0	0	0	-0.8897293	0	0	0	0	0	0	0	
MAL	0	0	0	0	0	-3.4048228	0	0	0	0	0	0	
MALAT1	9.111676	0	0	0	12.469828	3.5017588	9.128385	0	0	0	0	0	
MANSC1	0	0	0	0	0	-3.0415828	0	0	0	0	0	0	
MAOB	0	0	0	0	0	-3.2751415	0	0	0	0	0	0	
MAP2K3	0	0	0	0	0	0	0	4.921956	5.261941	0	0	0	
MAP3K1	0	0	0	0	0	-0.13044542	0	0	0	0	0	0	
MAP3K4	0	0	0	0	0	0	0	0	0	3.9355006	0	0	
MAP3K5	0	0	0	0	0	2.2531219	0	0	0	0	0	0	
MAP3K8	0.67509747	0	0	0	0	0	0	0	0	1.1508412	0	0	
MAP4	0	0	0	0	0	2.9748912	0	0	0	0	0	0	
MAP6D1	0	0	0	0	0	-2.3815756	0	0	0	0	0	0	
MARCKSL1	0	0	0	0	0	0	0	-3.981867	0	0	0	0	
MARK4	0	0	0	0	0	-3.0980756	0	0	0	0	0	0	
MAT2A	0	0	0	0	0	0	10.945776	0	0	0	0	0	
MATN2	0	0	0	0	0	-2.7596076	0	0	0	0	0	0	
MAX	0	0	0	0	0	0	0	0	0	0	0	2.3442538	
MAZ	0	0	-1.6012943	0	0	0	0	0	0	0	0	0	
MBNL1	0	0	0	0	8.008846	0	0	0	8.955516	0	7.788857	0	
MBNL2	0	0	0	0	0	6.5173993	0	0	0	0	0	0	
MCC	0	0	0	0	0	-1.1562563	0	0	0	0	0	0	
MCL1	7.9867263	0	6.642728	0	0	0	0	9.702084	8.035409	0	0	0	
MDM2	0	0	0	0	0	12.43605	0	0	0	0	0	8.162673	
MED13L	0	0	0	0	0	10.17311	0	0	0	0	0	0	
MED4	0	0	0	0	0	12.047166	0	0	0	0	0	0	
MED6	0	0	0	0	0	10.405652	0	0	0	0	0	0	
MET	0	0	0	0	0	8.591898	0	0	0	0	0	0	
METTL7A	0	0	0	2.91021	0	0	0	0	0	0	0	0	
MFAP2	0	0	16.873264	0	0	0	0	0	0	0	0	0	
MFHAS1	-1.2942896	0	0	0	0	0	0	0	0	0	0	0	
MGA	0	0	0	0	0	0	0	0	0	0	0	3.2600808	
MGP	0	0	0	0	0	3.0539715	0	0	0	0	0	0	
MICAL2	0	0	0	0	0	3.7317057	0	0	0	0	0	0	
MIR155HG	-1.1857017	0	0	0	0	0	0	0	0	0.09389805	0	0	
MLLT10	0	0	0	0	0	5.470652	0	0	0	0	0	0	
MLX	0	0	0	0	0	9.520287	0	0	0	0	0	0	
MMP1	-1.7911397	0	0	0	0	0	0	0	0	0	0	0	
MMP10	0	0	0	0	0	0	0	-2.1985128	0	-1.705704	0	0	
MMP3	-2.0446806	0	0	0	0	0	0	0	0	0	0	0	
MNAT1	0	0	0	0	0	0	0	0	0	0	0	11.412843	
MPDZ	0	0	0	0	0	5.3156905	0	0	0	0	0	0	
MRPL50	0	0	0	0	0	0	8.678787	0	0	0	0	0	
MRPS11	0	0	0	0	0	14.935134	0	0	0	0	0	0	
MSC	8.00926	0	0	0	0	0	0	0	0	0	0	0	
MSX1	0	0	0	0	0	0	0	-2.2358518	0	0	0	0	
MT1F	-6.3701878	0	0	0	0	0	0	0	0	0	0	0	
MT1G	-9.76958	0	0	0	0	0	0	0	0	0	0	0	
MT1H	-2.4629533	0	0	0	0	0	0	-2.22202	0	0	0	0	
MTG1	0	0	0	0	0	8.632033	0	0	0	0	0	0	
MTHFD1	0	0	0	0	0	8.769089	0	0	0	0	0	0	
MTO1	0	0	0	0	0	2.0047076	0	0	0	0	0	0	
MTUS1	0	0	0	0	1.6123424	-1.618027	0	0	0	0	0	0	
MX1	0	0	0	0	0	-3.2597156	0	0	0	0	0	0	
MXD4	0	0	0	0	0	0.054728735	0	0	0	0	0	0	
MYADM	0	0	5.2679358	0	0	0	0	0	0	0	0	0	
MYB	0	0	0	0	0	-3.1305914	0	0	0	0	0	0	
MYBL1	0	0	0	0	0	0	0	0	0	0	-0.57098734	0	
MYC	0	0	0	0	0	0	7.1848135	10.205753	9.47927	0	0	0	
MYL3	0	0	0	0	0	-2.7112813	0	0	0	0	0	0	
MYL9	0	0	0	0	0	5.6762347	0	0	0	0	0	0	
MYO1B	0	0	0	0	0	9.160556	0	0	0	0	0	0	
N4BP1	0	0	0	0	0	1.5001167	0	0	0	0	0	0	
N4BP2	0	0	0	0	0	0.7444569	0	0	0	0	0	0	
N4BP2L2	0	0	14.4623785	0	0	0	0	0	14.991259	0	0	0	
NAB2	0	0	0	0	0	0	0	0	8.857009	0	0	0	
NACAP1	0	0	0	0	0	0	0	0	-1.4394691	0	0	0	
NAMPT	10.947736	0	0	0	0	0	0	0	0	15.117908	9.962315	0	
NAPA	0	4.8441358	0	0	0	0	0	0	0	0	0	0	
NAV1	0	0	0	0	0	0	13.1463	0	0	0	0	0	
NAV2	3.5749125	0	0	0	0	0	0	0	0	0	0	0	
NBN	0	0	0	0	0	0	0	0	0	5.233599	0	0	
NCOA7	11.9387455	0	0	0	0	0	0	0	0	0	0	0	
NDUFA9	0	0	0	0	0	9.784772	0	0	0	0	0	0	
NDUFS6	0	0	0	0	0	13.39579	0	0	0	0	0	0	
NEAT1	16.102757	0	5.881777	-10.42374	19.07508	6.3121734	0	0	0	0	0	0	
NEBL	0	0	0	0	0	-3.345619	0	0	0	0	0	0	
NECAP1	0	0	0	0	0	1.9805892	0	0	0	0	0	0	
NEDD9	0	0	0	0	0	0	3.9889824	0	4.669114	0	0	0	
NEK4	0	0	0	0	0	-1.0245572	0	0	0	0	0	0	
NET1	0	0	0	0	0	0	0.6701431	0	0	0	0	0	
NFATC1	-1.4265027	0	0	0	0	0	-1.5429242	-1.8429946	0	0	0	0	
NFATC3	0	0	0	0	0	0.28661713	0	0	0	0	0	0	
NFKB1	4.7808185	0	0	0	0	0	0	3.9657717	0	3.4266012	0	0	
NFKB2	-2.1311336	0	0	0	0	0	0	-2.0793328	0	-1.7825608	0	0	
NFKBIA	4.867254	0	0	0	0	0	0	7.208029	0	5.5915036	0	0	
NFKBIE	-1.3595809	0	0	0	0	0	0	0	0	0	0	0	
NFKBIZ	20.085659	0	0	0	27.169151	10.4381275	17.335075	0	0	16.941065	0	0	
NINJ1	8.456841	0	0	0	0	0	0	0	0	0	0	0	
NIP7	0	0	0	0	0	12.404471	0	0	0	0	0	0	
NIPAL3	0	0	0	0	0	3.7070904	0	0	0	0	0	0	
NKX3-1	1.8408803	0	0	0	0	0	0	3.3444743	0	0	0	0	
NLN	0	0	0	0	-1.7276341	0	0	0	0	0	0	0	
NMB	-1.1186584	0	0	0	0	0	0	0	0	0	0	0	
NME7	0	0	0	0	0	0	13.058741	0	0	0	0	0	
NNMT	0	0	0	0	0	0	0	15.268055	0	0	0	0	
NR3C1	0	0	0	0	0	8.968923	0	0	0	0	0	0	
NR4A1	0	0	0	0	1.6657164	0	0	0	0.32983458	0	-0.05646155	0	
NR4A2	0	0	0	0	5.9254413	0.207255	0	0	3.4120252	0	2.454752	0	
NR4A3	-1.8760257	0	0	0	0	0	0	0	-2.4028513	-1.9007384	0	0	
NRIP1	0	0	0	0	0	0	0	0	0	0	1.9214653	0	
NT5E	0	0	0	0	0	10.998735	0	0	0	0	0	0	
NUCB1	0	5.549203	0	0	0	0	0	0	0	0	0	0	
NUDT17	0	0	0	0	0	-1.6731188	0	0	0	0	0	0	
NUDT21	0	0	0	0	0	8.413604	0	0	0	0	0	0	
NUFIP2	0	0	0	0	0	2.491093	0	0	0	0	0	0	
NUP50	0	0	0	0	2.8411074	0	0	0	0	0	0	0	
NXT2	0	0	0	0	0	0.8576474	0	0	0	0	0	0	
OAS1	0	0	0	0	0	-2.8391063	0	0	0	0	0	0	
OAS2	0	0	0	0	0	-3.2498314	0	0	0	0	0	0	
OASL	0	0	0	0	0	-3.3578935	0	0	0	-1.4643404	0	0	
OCEL1	0	0	0	0	0	-1.3162918	0	0	0	0	0	0	
OGDH	0	0	0	0	0	1.6448886	0	0	0	0	0	0	
OPHN1	0	0	0	0	0	3.8405724	0	0	0	0	0	0	
ORAI3	0	0	0	0	0	5.105779	0	0	0	0	0	0	
ORMDL3	0	0	0	0	0	0.11618702	0	0	0	0	0	0	
OSR1	-1.445617	0	0	0	0	0	0	0	0	0	0	0	
OSR2	-1.2790587	0	0	0	0	0	-2.4146366	0	0	0	0	0	
OXSM	0	0	0	0	0	1.0237149	0	0	0	0	0	0	
OXTR	0	0	0	0	0	0	0	0	0	0	2.1242907	0	
PAK1IP1	0	0	0	0	0	10.223164	0	0	0	0	0	0	
PALM2-AKAP2	0	0	0	0	0	0	0	0	0	-4.7208138	0	0	
PAPPA	0	0	0	0	0	-2.425631	0	0	0	0	0	0	
PAPSS2	0	0	0	0	0	2.8695395	0	0	0	0	0	0	
PCBP2	0	0	13.320805	0	0	0	0	0	10.147629	0	0	0	
PCDH18	11.25466	0	0	0	0	0	0	0	0	0	0	0	
PCF11	0	0	0	0	0	0	0	0	0	0	3.7071304	0	
PCNA	0	0	0	0	0	0	0	0	0	0	0	32.45231	
PDAP1	0	0	0	0	0	3.468887	0	0	0	0	0	0	
PDCD4	0	0	0	0	0	17.4846	0	0	0	0	0	0	
PDGFA	0	0	0	0	0	0	9.795413	0	0	0	0	0	
PDK2	0	0	0	0	0	0.31449124	0	0	0	0	0	0	
PDK3	0	0	0	0	0	-2.3609495	0	0	0	0	0	0	
PDLIM4	-2.0024319	0	0	0	0	0	1.7946551	0	0	0	0	0	
PDLIM5	0	0	0	0	0	0	0	0	9.869523	0	0	0	
PECR	0	0	0	0	0	-0.8165838	0	0	0	0	0	0	
PELI1	0	0	0	0	0	0	0	0	0	-0.036352016	0	0	
PFKFB3	0	0	0	0	-0.95900303	0	0	0	0	0	0	0	
PFKFB4	0	0	0	0	0	-2.6410017	0	0	0	0	0	0	
PGM2L1	4.4391117	0	0	0	0	0	0	0	0	0	0	0	
PHC1	0	0	0	0	0	0	0	0	0	0	0	0.4158336	
PHC2	0	0	0	0	0	6.6581473	0	0	0	0	0	0	
PHF10	0	0	0	0	0	2.381047	0	0	0	0	0	0	
PHF23	0	0	0	0	0	0	0	0	0	3.8917408	0	0	
PHIP	0	0	0	0	0	4.547625	0	0	0	0	0	0	
PHLDA1	4.359194	5.241381	0	0	0	8.058135	8.862394	5.2377434	5.199345	0	9.148034	0	
PHLDA2	0	0	0	0	0	2.9788988	0	0	4.562205	6.3915787	0	0	
PIAS1	0	0	0	0	0	11.394329	0	0	0	0	0	0	
PIM1	4.2669377	3.941338	0	0	0	0	1.908149	0	0	0	0	0	
PIM3	-1.0796741	0	0	0	0	0	0	0	0	-0.492681	0	0	
PKIA	0	0	0	0	0	-0.7842898	0	0	0	0	0	0	
PKMYT1	0	0	0	0	0	0	0	0	0	0	0	7.934975	
PLAT	0	0	0	0	0	6.484932	0	0	0	0	0	0	
PLAU	3.0401213	0	0	0	0	9.369552	10.46043	-1.1910899	0	-3.68938	0	0	
PLAUR	0	0	0	0	0	0	11.14459	15.201069	10.945565	17.647587	0	0	
PLD1	8.830797	0	0	0	0	1.1607283	0	0	0	8.28567	0	0	
PLK2	9.581786	0	0	0	0	0	0	0	0	0	0	0	
PLK3	1.917743	0	0	0	0	0	0	0	0	0	0	0	
PLSCR1	0	11.996679	0	0	0	9.709257	0	0	0	0	0	0	
PLXNB2	0	0	0	0	0	2.3569524	0	0	0	0	0	0	
PM20D2	0	0	0	0	0	-2.3735273	0	0	0	0	0	0	
PMAIP1	8.304118	8.931529	0	9.457866	0	5.7050714	0	10.658037	8.307057	11.997901	6.493159	0	
PMEPA1	0	0	0	0	0	0	2.247206	0	0	0	0	0	
PNRC1	7.8467255	0	0	0	0	6.673892	0	0	0	0	0	0	
POGZ	0	0	0	0	0	7.2871814	0	0	0	0	0	0	
POLR2D	0	0	0	0	0	12.873183	0	0	0	0	0	0	
POLR2E	0	8.612136	17.634617	0	0	0	0	0	0	0	0	0	
POLR2J4	0	0	0	0	0	1.3271863	0	0	0	0	0	0	
PPARG	0	0	0	0	0	-2.0522525	0	0	0	0	0	0	
PPDPF	0	0	0	0	0	-0.72686416	0	0	-0.93123835	0	0	0	
PPIA	0	0	0	0	0	10.1506605	0	0	0	0	0	0	
PPIF	0	0	0	0	0	0	0	5.111668	0	0	0	0	
PPM1K	0	0	0	0	0	-0.025631798	0	0	0	0	0	0	
PPP1R10	0	0	0	0	0	5.6620817	0	0	0	0	5.900688	0	
PPP1R15A	5.3968263	0	0	0	0	0	0	4.7810855	7.1715155	3.78195	0	0	
PPP1R15B	9.911271	0	0	0	0	0	0	0	0	0	0	0	
PPP1R3B	0.38949814	0	0	0	0	0	0	0	0	0	0	0	
PPP1R3C	-2.2010255	0	0	0	0	0	-0.66136324	0	0	0	0	0	
PPP2R2D	0	0	0	0	0	4.688251	0	0	0	0	0	0	
PRICKLE1	0	0	0	0	0	0	3.8940377	0	0	0	0	0	
PRNP	0	0	0	4.4222064	0	0	0	0	0	0	0	0	
PROSC	0	0	0	0	0	7.1935043	0	0	0	0	0	0	
PRPF4	0	0	0	0	0	3.704448	0	0	0	0	0	0	
PRPS1	0	0	0	0	0	0	0.6149221	0	0	0	0	0	
PSMB9	0	1.8489618	0	0	0	0	0	0	0	0	0	0	
PTBP1	0	0	4.5020533	0	0	0	0	0	0	0	0	0	
PTBP2	0	0	0	0	0	6.6418047	0	0	0	0	0	0	
PTEN	0	0	10.128175	0	0	0	0	0	0	0	0	0	
PTGER4	0	0	0	0	0	-1.5323434	-1.4761204	0	0	0.38728258	0	0	
PTGES	-1.9451754	0	0	0	0	0	0	0	0	0	0	0	
PTGS2	-1.2855263	0	0	0	-0.83116513	0	-2.559752	-1.2172458	-2.3724618	-0.29453912	0	0	
PTK6	0	0	0	0	0	-3.5846477	0	0	0	0	0	0	
PTMA	0	0	0	8.377012	0	0	0	0	0	0	0	0	
PTP4A1	0	0	0	0	0	8.447085	0	0	7.582282	0	0	0	
PTPN1	-0.0117633045	0	0	0	0	0	0	0	0	0	0	0	
PTPN11	0	0	0	0	0	6.6398106	0	0	0	0	0	0	
PTPRC	0	-2.0400734	0	0	0	0	0	0	0	0	0	0	
PTPRE	0	0	0	0	0	1.5776283	0	0	0	0	0	0	
PTPRO	0	0	0	0	0	0	0	0	0	0	-1.5262893	0	
PTX3	0	0	0	0	0	0	0	12.602424	0	0	0	0	
PXDN	0	0	0	0	0	10.5560465	0	0	0	0	0	0	
PXN	0	0	0	0	0	7.415165	0	0	0	0	0	0	
PYCARD	0	0	0	0	0	-12.447885	0	0	0	0	0	0	
RAB2A	0	0	0	0	0	0	0	0	0	0	7.5407495	0	
RALA	0	2.1617768	0	0	0	0	0	0	0	0	0	0	
RANBP3	0	0	0	0	0	2.405421	0	0	0	0	0	0	
RAP1A	0	0	6.319785	0	0	4.9496875	0	0	0	0	0	0	
RAP2C	11.349212	0	0	0	0	0	0	0	0	0	0	0	
RAPGEF1	0	-5.7122664	0	0	0	0	0	0	0	0	0	0	
RAPGEF2	0	0	0	0	0	0	0	0	0	3.5050342	0	0	
RARRES3	0	6.471907	0	0	0	1.1840091	0	0	0	0	0	0	
RASEF	0	0	4.6364074	0	0	0	0	0	0	0	0	0	
RASL11B	0	0	0	0	0	0	-2.5288227	0	0	0	0	0	
RB1	0	0	0	0	0	0	0	0	0	0	0	2.9466991	
RBBP6	0	0	0	0	4.2571983	7.0328884	0	0	0	0	0	0	
RBL1	0	0	0	0	0	0	0	0	0	0	0	7.816745	
RBL2	0	0	0	0	0	4.8560214	0	0	0	0	0	0.7463501	
RCAN1	3.0992599	0	0	0	2.2985187	0	0	3.489558	0	3.8193054	0	0	
RDH11	0	0	0	0	0	13.6261425	0	0	0	0	0	0	
RECK	0	6.519291	0	0	0	0	0	0	0	0	0	0	
REEP3	0	0	0	0	0	15.395069	0	0	0	0	0	0	
REL	-1.0714476	0	0	0	0	0	0	-0.7599894	0	0	0	0	
RELB	-1.1145424	0	0	0	0	0	0	-1.2859237	0	-1.0474732	0	0	
REV3L	9.711389	0	0	0	0	10.204492	12.121954	0	0	0	0	0	
RFX5	0	0	0	0	0	0.59734905	0	0	0	0	0	0	
RGS16	0	0	0	0	0	0	-2.5648415	0	0	0	0	0	
RGS19	0	0	0	0	0	0	-1.2584074	0	0	0	0	0	
RGS2	0	0	0	0	0	11.40521	0	0	0	0	0	0	
RGS3	5.359648	0	0	0	0	0	7.4729104	0	0	0	0	0	
RGS4	15.271828	0	0	0	0	0	0	0	0	0	0	0	
RGS5	0	0	0	0	-0.30730012	-1.5794129	0	0	0	0	0	0	
RHOB	4.976936	0	0	0	0	0	6.4843583	0	6.4038687	0	7.734718	0	
RHOBTB3	0	0	0	0	0	10.591356	0	0	0	0	0	0	
RIMKLB	0	0	0	0	5.127123	0	0	0	0	0	0	0	
RING1	0	0	0	0	0	0	0	0	0	0	0	-0.120147154	
RIOK3	0	0	0	0	0	9.905333	0	0	0	0	0	0	
RIPK2	3.1018689	1.8420371	0	0	0	0	0	3.4260507	0	0	0	0	
RMI1	0	0	0	0	0	0.69507724	0	0	0	0	0	0	
RND1	0	0	0	0	0	0	0	-1.1444708	0	-1.2718768	0	0	
RND3	0	10.465238	0	0	0	0	0	10.277144	0	0	0	0	
RNF103	-0.27380583	0	0	0	0	0	0	0	0	0	0	0	
RNF11	0	0	0	0	0	6.1088524	0	0	0	0	0	0	
RNF138	0	0	0	0	0	2.5827405	0	0	0	0	0	0	
RNF19B	0	0.14172615	0	0	0	0	0	0.02652838	0	0	0	0	
RNFT1	0	0	0	0	0	7.9509654	0	0	0	0	0	0	
RPE	0	0	0	0	0	7.6149654	0	0	0	0	0	0	
RPL13	0	0	0	0	0	9.726818	0	0	0	0	0	0	
RPL37A	0	0	0	0	0	0	0	0	-9.870495	0	0	0	
RPL38	0	0	25.113594	0	0	0	0	0	16.754637	0	0	0	
RPLP2	0	0	17.517923	0	0	0	0	0	0	0	0	0	
RPRD1A	0	0	0	0	0	2.3633785	0	0	0	0	0	0	
